id,yq,arb1,lewspread_avg,lewtspread_avg,lBP_Ratio,ni_at,lcash_at,capx_at,llev_dif,llnsize,latgr_p4
001300,20214,0,.4020263,1.1925001,.12269189,2.224611,18.906078,.43775606,-1.0254234,11.069618,1.1468986
001300,20221,0,.57687557,1.3153846,.12977612,1.7589576,17.873428,.28385296,-3.3317029,11.073956,-.17976697
001300,20222,0,.76486373,1.7361538,.13880728,1.990466,15.428084,.24940017,5.7058425,11.056461,-.32935977
001300,20223,0,.83725256,1.6453848,.15064767,2.4928522,13.908252,.29554436,-2.2705169,11.039042,-2.6736298
001300,20224,1,.69754124,.54153848,.15851933,1.6902484,13.211803,.39975452,-4.1840196,11.006872,-6.2746525
001380,20131,0,1.4823065,1.585,1.1431681,2.9373174,1.4778665,3.4736772,-14.934742,10.679159,10.436094
001380,20132,0,1.9910643,2.29,.91811347,3.3766725,1.0476887,3.4734185,-15.927588,10.654408,4.1727924
001380,20133,0,1.7624129,2.6166666,1.0505179,1.0138071,1.7500242,3.3962536,-17.229042,10.631712,1.9844147
001380,20134,1,1.6999364,3.04,.90181601,4.5947108,.7661829,3.4657247,-15.112337,10.642945,-.75141841
001380,20141,0,1.3632166,3.0500002,.85139489,.90283948,4.242878,3.3774619,-18.485188,10.663218,-1.5940938
001380,20142,1,1.2412143,2.9099996,.92915684,2.2474895,3.1093087,2.1823096,-17.687775,10.631616,-2.2792532
001380,20143,0,1.0113902,2.7400002,.77928609,2.4542863,5.3687515,3.3162084,-16.181065,10.623057,-.86547041
001380,20144,0,1.1445614,2.6849999,.84076887,-.019524099,10.054912,3.8169615,-14.829027,10.620717,-2.2228231
001380,20151,0,1.9694462,2.3474998,1.0077983,-1.0083468,6.3352165,3.2064908,-14.858198,10.560437,-10.27806
001380,20152,0,1.9552644,2.1199999,1.0989906,-1.5705936,4.1716294,3.2852278,-16.32658,10.494076,-13.753986
001380,20153,1,1.8737386,2.4799998,1.0882354,-.78463358,2.6182575,2.7082512,-17.990723,10.47892,-14.413712
001380,20154,0,2.6253679,2.0925,1.4645662,-4.9950624,8.2647581,2.5647354,-17.808256,10.503861,-11.685607
001380,20161,0,3.0240579,1.97,1.3616456,-1.4885217,7.9426818,1.8131306,-15.803708,10.439835,-12.060273
001380,20162,0,4.0372753,1.5425,1.3142722,-1.1261779,10.218915,1.7668352,-20.922846,10.457603,-3.647332
001380,20163,0,3.1644344,1.3325,1.1213665,-.99024361,9.04072,1.5452474,-18.039627,10.440974,-3.7945862
001380,20164,0,2.7971961,1.4466667,1.2397482,-14.196582,10.241156,1.4132737,-16.114162,10.447525,-5.6335845
001380,20171,0,2.2645009,1.9849999,.79488611,-1.1320359,9.5454388,1.3626359,-13.300278,10.261896,-17.793871
001380,20172,0,2.3065152,1.6833333,1.0008143,-1.5978647,9.5587187,1.7081851,-31.497747,10.243525,-21.407766
001380,20173,0,2.4526942,1.2166667,1.0679018,-2.2447658,8.964673,1.8454565,-12.87953,10.232719,-20.825523
001380,20174,1,2.4323869,1.1566666,.920241,-10.06391,9.4962406,2.0827067,-11.870852,10.188666,-25.8859
001380,20181,0,1.9727538,1.0549999,.76101601,-.45863622,20.97179,1.7307026,-7.6951475,10.048107,-21.378876
001380,20182,0,2.2077117,1.2,.69155866,-.58898151,16.881115,2.2335992,-17.353327,10.002065,-24.145975
001380,20183,0,2.272953,1.04,.50446963,-.19567649,13.548267,2.5158405,-6.5337033,9.9741325,-25.858698
001380,20184,0,2.1695578,.91000003,.46961385,-.018633252,13.993571,3.0931196,-6.4945965,9.9742718,-21.439434
001380,20191,0,3.0103714,.54399997,.83753908,.14930248,12.569402,3.1306863,-6.4163866,9.9726868,-7.542017
001380,20192,0,2.4740973,.30399996,.53485316,-.027629398,10.591269,2.8734574,-1.6331077,9.9858046,-1.6260521
001380,20193,0,2.5816512,.067999944,.5034833,-.9771837,10.177461,3.268034,-2.9136271,9.9848375,1.0704707
